country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",15-01-2026 12:00,25.3505986,82.9083074,SO2,9,12,11
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",15-01-2026 12:00,25.301778,82.996789,PM10,53,186,87
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",15-01-2026 12:00,25.301778,82.996789,SO2,26,29,28
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",15-01-2026 12:00,25.301778,82.996789,CO,2,52,6
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",15-01-2026 12:00,25.262326,82.995408,CO,6,35,14
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",15-01-2026 12:00,25.262326,82.995408,OZONE,1,32,6
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",15-01-2026 12:00,25.32393,82.99687,OZONE,1,10,2
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",15-01-2026 12:00,27.571409,77.655757,PM2.5,34,123,54
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",15-01-2026 12:00,27.571409,77.655757,NO2,12,12,12
India,Uttarakhand,Dehradun,"Doon University, Dehradun - UKPCB",15-01-2026 12:00,30.269444,78.044167,PM10,86,158,120
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",15-01-2026 12:00,22.6025571,88.3105664,SO2,2,36,15
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",15-01-2026 12:00,22.611968,88.347422,NH3,7,15,11
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",15-01-2026 12:00,22.5687319,88.2797276,NO2,15,53,30
India,West_Bengal,Howrah,"Padmapukur, Howrah - WBPCB",15-01-2026 12:00,22.5687319,88.2797276,CO,56,120,71
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",15-01-2026 12:00,22.5367507,88.3638022,PM10,130,230,170
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",15-01-2026 12:00,22.58157048,88.41002457,PM10,109,251,164
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",15-01-2026 12:00,22.58157048,88.41002457,NO2,10,45,29
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",15-01-2026 12:00,23.549395,87.300496,PM10,95,173,127
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB",15-01-2026 12:00,23.549395,87.300496,CO,33,66,50
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",15-01-2026 12:00,22.06047,88.109737,PM2.5,82,244,142
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",15-01-2026 12:00,22.06047,88.109737,NH3,8,8,8
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB",15-01-2026 12:00,22.629801,88.352017,PM10,147,308,190
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",15-01-2026 12:00,22.6025571,88.3105664,PM2.5,47,306,166
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",15-01-2026 12:00,28.56923,77.393848,PM10,141,416,212
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",15-01-2026 12:00,28.56923,77.393848,NO2,49,132,78
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB",15-01-2026 12:00,28.56923,77.393848,NH3,11,21,17
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB",15-01-2026 12:00,25.425602,81.917152,NH3,5,5,5
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",15-01-2026 12:00,25.494,81.863,PM10,49,106,77
India,Uttar_Pradesh,Prayagraj,"Motilal Nehru NIT, Prayagraj - UPPCB",15-01-2026 12:00,25.494,81.863,NH3,7,8,8
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB",15-01-2026 12:00,25.44919916,81.82735986,NO2,5,5,5
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",15-01-2026 12:00,28.83526,78.7446,NH3,5,5,5
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",15-01-2026 12:00,28.840739,78.697531,CO,19,105,37
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",15-01-2026 12:00,28.88528,78.7388,NH3,4,4,4
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",15-01-2026 12:00,28.856664,78.772638,NO2,25,25,25
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",15-01-2026 12:00,28.856664,78.772638,OZONE,17,20,17
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",15-01-2026 12:00,28.849399,78.742362,SO2,3,56,25
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",15-01-2026 12:00,23.618183,87.105718,NH3,1,2,1
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",15-01-2026 12:00,22.7605581,88.3617589,PM2.5,96,217,152
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",15-01-2026 12:00,22.7605581,88.3617589,NH3,6,9,8
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",15-01-2026 12:00,22.7605581,88.3617589,OZONE,9,58,25
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",15-01-2026 12:00,23.508764,87.35444,PM10,66,140,102
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",15-01-2026 12:00,23.508764,87.35444,NH3,13,17,15
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",15-01-2026 12:00,28.802625,78.753728,PM2.5,47,204,89
